"unNo","psn","classOrDivision","subsidiaryHazard","segregation"
"1267","PETROLEUM CRUDE OIL","3","",""
"1267","PETROLEUM CRUDE OIL","3","",""
"1267","PETROLEUM CRUDE OIL","3","",""
"1268","PETROLEUM DISTILLATES, N.O.S. or PETROLEUM PRODUCTS, N.O.S.","3","",""
"1268","PETROLEUM DISTILLATES, N.O.S. or PETROLEUM PRODUCTS, N.O.S.","3","",""
"1268","PETROLEUM DISTILLATES, N.O.S. or PETROLEUM PRODUCTS, N.O.S.","3","",""
"1272","PINE OIL","3","",""
"1274","n-PROPANOL (PROPYL ALCOHOL, NORMAL)","3","",""
"1274","n-PROPANOL (PROPYL ALCOHOL, NORMAL)","3","",""
"1275","PROPIONALDEHYDE","3","",""
"1276","n-PROPYL ACETATE","3","",""
"1277","PROPYLAMINE","3","8","SG35"
"1278","1-CHLOROPROPANE","3","","SGG10"
"1279","1,2-DICHLOROPROPANE","3","","SGG10"
"1280","PROPYLENE OXIDE","3","",""
"1281","PROPYL FORMATES","3","",""
"1282","PYRIDINE","3","",""
"1286","ROSIN OIL","3","",""
"1286","ROSIN OIL","3","",""
"1287","RUBBER SOLUTION","3","",""
"1287","RUBBER SOLUTION","3","",""
"1288","SHALE OIL","3","",""
"1288","SHALE OIL","3","",""
"1289","SODIUM METHYLATE SOLUTION in alcohol","3","8","SGG18 SG35"
"1289","SODIUM METHYLATE SOLUTION in alcohol","3","8","SGG18 SG35"
"1292","TETRAETHYL SILICATE","3","",""
"1293","TINCTURES, MEDICINAL","3","",""
"1293","TINCTURES, MEDICINAL","3","",""
"1294","TOLUENE","3","",""
"1295","TRICHLOROSILANE","4.3","3/8","SGG1 SG5 SG8 SG13 SG25 SG26 SG36 SG49 SG72"
"1296","TRIETHYLAMINE","3","8","SG35"
"1297","TRIMETHYLAMINE, AQUEOUS SOLUTION, not more than 50% trimethylamine, by mass","3","8","SG35 SG54"
"1297","TRIMETHYLAMINE, AQUEOUS SOLUTION, not more than 50% trimethylamine, by mass","3","8","SG35 SG54"
"1297","TRIMETHYLAMINE, AQUEOUS SOLUTION, not more than 50% trimethylamine, by mass","3","8","SG35 SG54"
"1298","TRIMETHYLCHLOROSILANE","3","8","SGG1 SG36 SG49"
"1299","TURPENTINE","3","",""
"1300","TURPENTINE SUBSTITUTE","3","",""
"1300","TURPENTINE SUBSTITUTE","3","",""
"1301","VINYL ACETATE, STABILIZED","3","",""
"1302","VINYL ETHYL ETHER, STABILIZED","3","",""
"1303","VINYLIDENE CHLORIDE, STABILIZED","3","P","SGG10"
"1304","VINYL ISOBUTYL ETHER, STABILIZED","3","",""
"1305","VINYLTRICHLOROSILANE","3","8","SGG1 SG36 SG49"
"1306","WOOD PRESERVATIVES, LIQUID","3","",""
"1306","WOOD PRESERVATIVES, LIQUID","3","",""
"1307","XYLENES","3","",""
"1307","XYLENES","3","",""
"1308","ZIRCONIUM, SUSPENDED IN A FLAMMABLE LIQUID","3","",""
"1308","ZIRCONIUM, SUSPENDED IN A FLAMMABLE LIQUID","3","",""
